"Funding Program Name","Funding Type","Funding Amount/Range","Eligibility Criteria","Application Process","Application Deadline","Industry Focus","Funding Source","Geographical Restrictions","Website/Link to Apply","Contact Information","Required Documents","Duration of Funding/Support","Additional Benefits"
"ego.-START (Sachsen-Anhalt)","Grant (Stipend + coaching)","Gründerstipendium: €2,000/month per founder up to 18 months&#8203;:contentReference[oaicite:102]{index=102}; plus up to €5,400 coaching support","Innovative founders in Saxony-Anhalt before or shortly after business formation (<2 years); must create jobs or high-growth potential; typically with university link","Apply to Investitionsbank Sachsen-Anhalt (IB) with support of a regional “ego” startup initiative; include business concept and coach plan","Periodic calls (annually or as announced)","All industries (focus on innovative, knowledge-based)","State (Sachsen-Anhalt, ESF+)","Sachsen-Anhalt","https://www.ib-sachsen-anhalt.de/ego-start","Investitionsbank Sachsen-Anhalt, Gründerförderung; service@ib-lsa.de","Business concept, project plan, CVs, coaching plan","Up to 18 months stipend","Covers living costs so founders can focus full-time; includes funded coaching (max €5.4k)&#8203;:contentReference[oaicite:103]{index=103}; integrated into “ego.” startup support network with events and mentoring"
"IBG Risikokapitalfonds Sachsen-Anhalt","Equity Investment","Typical investment €200k–€1M seed; up to ~€5M over life of company","Startups in Saxony-Anhalt with growth potential; sectors vary (tech, industrial, etc.); usually require co-investor","Approach IBG (managed by bmp Ventures) with pitch; if initial interest, go through due diligence; coinvestment often with private lead","No deadline (fund invests anytime)","Various (ICT, life science, engineering, etc.)","State VC (Sachsen-Anhalt via IBG funds)","Sachsen-Anhalt","https://www.ibg-vc.de/","IBG / bmp Ventures AG; info@bmp.com","Pitch deck, business plan, financials","N/A (equity investment)","Local VC partner with long-term view; can leverage state networks (e.g. Fraunhofer in ST); typically patient capital but expects growth; board support and syndication with other investors"
"Thüringer Gründerprämie","Grant (Stipend)","Up to €3,500 per month for 12 months&#8203;:contentReference[oaicite:104]{index=104} (amount based on needs, typically ~€2,000–€3,000)","Innovative startup projects in Thuringia in pre-start or early stage; founders not employed full-time elsewhere; idea with significant innovation or IP","Calls by Thuringian Ministry via Aufbaubank; application includes concept and budget; evaluation by expert panel; ~10–15 awards per call","Semi-annual calls (usually)","Innovative/high-tech or high-growth startups","State (Thuringia, ESF+)","Thuringia","https://www.aufbaubank.de/Start-ups/Gruenderpraemie","Thüringer Aufbaubank; kundenservice@aufbaubank.de","Business concept, innovation description, budget plan, CVs","12 months","Pairs with coaching via ThEx (Thuringia startup hub); non-dilutive living support; intended to complement EXIST (it’s positioned as filling gaps for those who didn’t get federal grants)&#8203;:contentReference[oaicite:105]{index=105}"
"bm|t – Beteiligungsmanagement Thüringen funds","Equity Investment","Initial investments ~€200k–€1M; up to €4M total (varies by specific bm|t fund)","Startups based in Thuringia or willing to relocate there; innovative product and scalable model; various stages (seed to growth)","Pitch to bm|t (state VC); if fit with one of their funds (Seed Fund, Venture Capital Fund, etc.), undergo due diligence and negotiation","No deadline","All sectors (tech, industrial, healthcare, etc.)","State VC (Thuringia – bm|t is state-owned VC)","Thuringia","https://www.bm-t.de/","bm|t GmbH (Erfurt); info@bm-t.de; Tel +49 361 744710","Pitch materials, business plan, financials","N/A (investment)","Regional investor with multiple funds (including spezialized like “Seed Fund III”); brings local network and often co-invests with national VCs; portfolio support via board seats and management coaching"
"Gründerstipendium Mecklenburg-Vorpommern","Grant (Stipend)","€1,200/month per founder (full-time) for up to 18 months&#8203;:contentReference[oaicite:106]{index=106} (+€300 if PhD holder or child bonus)","Innovative startups in MV, just founded or about to found; founders must devote full time to project (no major side job); often linked to universities","Apply to GSA (Gründungswerft) or partner university in MV; submit concept, then pitch to a jury who awards stipends","Calls typically annually","Technology-oriented or knowledge-based startups","State (Mecklenburg-Vorpommern, ESF+ funded)","Mecklenburg-Vorpommern","https://www.gruenderstipendium-mv.de/","GSA – Gründerstipendium MV c/o HS Wismar; Marc Schröder, Tel +49 3841 753-7766&#8203;:contentReference[oaicite:107]{index=107}","Project description, proof of concept, mentor letter from university or incubator","Up to 18 months","Access to coaches via universities (e.g., Wismar’s RSI) during stipend&#8203;:contentReference[oaicite:108]{index=108}; networking among MV startups; stipend allows full focus without equity dilution"
"MV Start-up Förderdarlehen","Loan","Up to ~€20,000–€50,000 (exact product varies, e.g. Mikrodarlehen MV up to €20k)","Founders and small businesses in Mecklenburg-Vorpommern needing seed capital; often those not served by banks; business must be in MV","Apply via LFI/IB MV or partner network; provide business plan; simpler approval for small loans","No deadline","All sectors (with business plan)","State (Mecklenburg-Vorpommern)","Mecklenburg-Vorpommern","https://www.lfi-mv.de/ (Landesförderinstitut MV)","LFI Mecklenburg-Vorpommern, Schwerin; info@lfi-mv.de","Business plan, financial projections, personal data","Typically 5–6 year term","Enables financing for small startups; usually lower collateral requirements; can be combined with coaching by chambers or HWK; helps build credit and track record"
"Gründungsstipendium Schleswig-Holstein","Grant (Stipend)","€1,750/month for graduates, €800 for students, up to 12–18 months&#8203;:contentReference[oaicite:109]{index=109}","Students or recent graduates in SH with innovative, technology- or knowledge-based startup idea; not yet founded or very new startup; must devote full time (or study) to project","Apply through WTSH (business development agency); need support letter from a professor or startup center; juried selection","Calls typically 1–2 times per year","Tech, knowledge-based startups (especially university spin-outs)","State (Schleswig-Holstein, ESF funded)","Schleswig-Holstein","https://www.wtsh.de/foerderprogramme/gruendungsstipendium","WTSH GmbH Kiel; Tel +49 431 66666-849; fischbach@wtsh.de&#8203;:contentReference[oaicite:110]{index=110}","Idea description, proof of academic status, mentor letter, project plan","Up to 18 months","Additional training and coaching via WTSH and Startup Schleswig-Holstein network; stipend allows focus on developing prototype; integration with local incubators (e.g., Starterkitchen Kiel)"
"Seed- und Start-up Fonds II (Schleswig-Holstein)","Equity Investment","Investment tickets typically €0.1–0.5M (can go higher in follow-ons up to ~€3M)","Early-stage high-tech startups in Schleswig-Holstein; sectors include digital, life science, maritime, etc.; must be willing to have operations in SH","Contact MBG SH (fund manager) with pitch; if criteria met (innovative, scalable, located in SH), go through due diligence and investment committee","No deadline","Tech, knowledge-intensive startups","State (Schleswig-Holstein via MBG SH, co-investment fund)","Schleswig-Holstein","https://www.mbg-sh.de/seed-und-start-up-fonds","MBG Schleswig-Holstein; Tel +49 431 66084-0; info@mbg-sh.de","Pitch deck, business plan, financials, cap table","N/A (VC investment)","State-backed VC that often co-invests with private angels/VCs; provides equity without taking majority; connects startups to corporate network in SH; long-term support"
"Starthaus Coachingprogramm (BRUT) Bremen","Grant (Consulting + stipend)","Coaching package value ~€30k (training program) + €8,500 cash grant for living costs&#8203;:contentReference[oaicite:111]{index=111}","Prospective founders in Bremen/Bremerhaven with an innovative idea, prior to or just after company formation; must commit to intensive 12-month program","Apply to Starthaus Bremen; involves submitting idea and interviews; cohorts start 2x per year","Two intakes per year (usually)","All industries (focus on innovative business models)","State (Bremen, EFRE)","Bremen/Bremerhaven","https://www.starthaus-bremen.de/","Starthaus Bremen (BAB); info@starthaus-bremen.de; Tel +49 421 9600-372&#8203;:contentReference[oaicite:112]{index=112}","Application form, idea description, CVs","12 months program","Includes ~25 workshops and coaching sessions (lean startup, marketing, etc.)&#8203;:contentReference[oaicite:113]{index=113}; peer group networking; €8.5k grant to cover personal living expenses&#8203;:contentReference[oaicite:114]{index=114}; office space at Starthaus"
"BREMER MikroKredit","Loan","€5,000–€20,000 microloan; 5 years; low interest (~3–4%)","Startups and small businesses in State of Bremen needing small capital infusion; limited collateral or credit history","Apply via Starthaus/BAB; simple application with business idea; evaluated by Bremer Aufbau-Bank","No deadline","All sectors (especially small local businesses or solo startups)","State (Bremen, BAB)","Bremen","https://www.bab-bremen.de/","Bremer Aufbau-Bank (BAB); kundenservice@bab-bremen.de","Business idea summary, simple financial plan","5-year term (6–12 months grace)","Enables smallest ventures to get started; paired with advisory from Starthaus; no bank guarantor needed (BAB lends directly); helps in establishing credit record for future loans"
"Starter Stipendium Saar","Grant (Stipend)","Up to €3,000 per month for 12 months (for team of 2 founders, €1,500 each)&#8203;:contentReference[oaicite:115]{index=115}&#8203;:contentReference[oaicite:116]{index=116}","Innovative startups in Saarland up to 18 months after founding; founders must work full-time on project; any sector with convincing innovation","Apply to Saarland Economic Ministry via online portal (sigu.saarland); pitch deck and video; shortlisted pitch live to jury","Calls roughly once a year","All industries (priority to high-growth, innovative ideas)","State (Saarland Ministry of Economics)","Saarland","https://gruenden.saarland/starter-stipendium-saar/","Starterzentrum Saarland; Tel +49 681 501-1717; referat.b1@wirtschaft.saarland.de&#8203;:contentReference[oaicite:117]{index=117}","Pitch deck, idea description, optional video, financial outline","12 months","Intensive coaching and workshops alongside stipend (via partners like Dock11); free co-working space access; media exposure through Saarland marketing"
"Saarland Seed Capital (Saarländische Wagniskapital)","Equity Investment/Loan","Typically €100k–€300k seed investment (convertible or equity)","Early-stage startups in Saarland with growth potential; looking for first external funding; sector-agnostic","Contact SIKB or Saarland Economic Promotion corporation to present business; evaluation and matching with Saarland venture fund or angels","No formal deadline","All sectors (emphasis on innovative companies)","State (Saarland, via SIKB or Saarland Wagnisfonds)","Saarland","https://www.sikb.de/ (Saarländische Investitionskreditbank)","SIKB Saarland; startup funding desk; Tel +49 681 3830-0","Executive summary, financial plan, investor presentation","N/A (investment)","Local capital with understanding of region; often structured as convertible loan to ease process; connects startup with mentor network of Saarland Offensive für Gründung (SOG) if needed"
"Techstars Accelerator (Berlin)","Accelerator (Investment)","$120,000 investment (~€100k) for 6–10% equity&#8203;:contentReference[oaicite:118]{index=118}; plus perks (cloud credits, etc.)","Startups in any industry with strong team and traction or MVP; usually seed-stage; Techstars Berlin program especially interested in FinTech, Web3, Future of Work&#8203;:contentReference[oaicite:119]{index=119}","Online application on Techstars website; multi-stage interviews if shortlisted; cohort of ~10 companies","Programs 1–2 times per year (e.g. Techstars Berlin Spring and Fall)","Broad (with some thematic programs e.g. Techstars Berlin AI, etc.)","Private (Techstars, corporate partners)","International (Berlin location but startups worldwide can apply; must relocate for program)","https://www.techstars.com/accelerators/berlin","Techstars Berlin Program Director (listed on website)","Online application (responses about team, market, traction), video intro, pitch deck","13-week accelerator program","Intensive mentorship-driven program; access to Techstars mentor network; numerous investor demo days; lifelong alumni network; office space during program; equity mentorship for life"
"APX (Axel Springer Porsche)","Accelerator VC","Initial €50,000 for 5% equity&#8203;:contentReference[oaicite:120]{index=120}, with follow-on potential up to €500k","Pre-seed startups (often MVP stage) in any industry; preferably <3 years old; willing to incorporate in Germany if not already","Rolling application (APX reviews applications continuously); pitch and due diligence; investment offered each month to new startups","No set batch – invests year-round, cohort activities in cycles","Industry-agnostic (20+ industries)&#8203;:contentReference[oaicite:121]{index=121}","Private (Joint Venture Axel Springer & Porsche)","International (must establish a German presence)","https://apx.vc/","APX Berlin (Ohlauthallee); hello@apx.vc","Pitch deck via online form, product demo, cap table","100-day program (6-week accelerator sprints)","Hands-on venture development support&#8203;:contentReference[oaicite:122]{index=122}; office space in Berlin; large network of 250+ co-investors&#8203;:contentReference[oaicite:123]{index=123}; follow-on investment readiness support; strong media and corporate connections via Axel Springer and Porsche"
"Plug and Play Germany (Accelerators)","Accelerator (Equity-free, potential investment)","Often offers €25k–€50k pilot funding or optional investment; mostly program without direct cash (focus on corporate pilots)","Early and growth-stage startups in thematic programs (e.g. Fintech, Insurtech, Health, Supply Chain) that align with corporate partners’ interests; any location (must participate in Germany program events)","Apply online for specific vertical program (e.g. InsurTech Europe); reviewed by Plug&Play and corporate partners; ~20 startups per batch chosen","2 batches per year per vertical (typically)","FinTech, InsurTech, HealthTech, Mobility, Retail, etc. (vertical-specific)","Private (Plug and Play Tech Center + corporate sponsors)","International (programs run in Munich, Stuttgart, etc., open globally)","https://www.plugandplaytechcenter.com/germany/","Plug and Play Germany (Munich, Stuttgart etc.); info@pnptc.com","Online application, pitch deck, product demo","3-month program","No equity taken for program; access to corporate business development – intros to big corporate customers for pilots; workspace during program; optional seed investment from Plug&Play ventures in some cases; global network across Plug&Play locations"
"hubraum (Deutsche Telekom Incubator)","Incubator/VC","Pre-seed funding typically €25k–€50k (convertible note) for equity option; or direct strategic investment for later-stage (amount varies)","Startups in tech domains strategic to Deutsche Telekom (5G, IoT, AI, AR/VR, cybersecurity, etc.); from early prototype to growth stage depending on program; international but focus on Europe/Israel/USA connectivity","Apply to specific hubraum programs or calls (e.g. 5G Prototyping); or send pitch to hubraum fund team; selection by Telekom experts if alignment","Occasional themed calls (e.g. Sustainability tech award)&#8203;:contentReference[oaicite:124]{index=124}; otherwise rolling for incubator","Telecommunications, connectivity, media, consumer apps (areas that benefit Telekom)","Corporate (Deutsche Telekom)","International (Berlin hub, but startups worldwide)","https://www.hubraum.com/","hubraum Berlin; contact@hubraum.com","Pitch deck, product demo, use-case for Telekom network","Programs 3–6 months (incubation), or ongoing support if investment","Telekom partnership opportunities: access to 80M Telekom customers if pilot succeeds; free telecom infrastructure (APIs, test 5G network); mentorship from tech and business experts at DT; office space in Berlin, Krakow or Bonn; follow-on investments via Telekom’s venture arm possible"
"Merck Accelerator (Darmstadt)","Accelerator (Grant/Investment)","Up to €50,000 equity-free funding&#8203;:contentReference[oaicite:125]{index=125}; possibility of pilot projects with Merck KGaA; no equity taken for program","Global early-stage startups in Healthcare, Life Science, Performance Materials, or related (e.g. bioinformatics, lab tech); typically with at least prototype; synergy with Merck’s areas","Apply online to Merck Accelerator; screening and interviews with Merck’s innovation team; ~10 startups selected per cohort (includes some from Merck Africa)","Annual cohorts (3-month program, usually start in Spring)","Healthcare, Life Science, Performance Materials (Chemicals)","Corporate (Merck KGaA)","International (must attend program in Darmstadt; relocation support provided)","https://accelerator.merckgroup.com/","Merck Innovation Center Darmstadt; accelerator@merckgroup.com","Online application form, pitch deck, video, detailed questions on technology","3-month program in Merck Innovation Center","Lab & office space at Merck HQ; mentoring by Merck experts; access to Merck research facilities; opportunities for Merck to become customer or partner; wrap-up demo day and ongoing alumni support"
"Bayer G4A (Grants4Apps) – Growth Track","Partnership / Investment","Up to €100,000 funding (often as convertible or pilot budget); varies by year (some tracks offer €50k grants)","Digital health and medtech startups with products that align to Bayer’s pharma or consumer health units; preference for startups with some traction (post-seed)","Apply to Bayer G4A call (usually annual with specific challenge areas); shortlisted pitch to Bayer; selected teams enter partnership program","Annual open call (themes like oncology, cardiology, women’s health, etc.)","Digital Health, MedTech, Life Sciences (focus on software/apps)","Corporate (Bayer AG)","International (program in Berlin, open globally)","https://www.g4a.health/","Bayer G4A Digital Health team; g4a@bayer.com","Application form, pitch deck, product demo, traction metrics","3–6 month partnership program","Co-working at Bayer’s Berlin space; direct access to Bayer business units and mentors; if pilot succeeds, potential long-term commercial contract with Bayer; no equity required for initial funding (Bayer may negotiate equity in separate deals if both agree)"
"ProSiebenSat.1 Accelerator","Accelerator (Investment + Media)","€25,000 cash for 5% equity&#8203;:contentReference[oaicite:126]{index=126}; plus up to €500,000 in TV advertising budget (media-for-equity deal option)","Early-stage consumer startups (B2C) with mass-market potential (so they can utilize TV reach); often web platforms, consumer products or services; startup should be German GmbH or willing to incorporate","Online application or referral; interview and pitch; 7–10 startups selected per batch","Twice a year (Spring and Fall batches)","Consumer products, e-commerce, digital media, marketplaces (anything benefiting from broad consumer marketing)","Corporate (ProSiebenSat.1 Media SE)","Primarily DACH region (to use German-language media reach)","https://accelerator.prosiebenSat1.com/","P7S1 Accelerator Team (Munich); accelerator@prosiebensat1.com","Application form, pitch deck, product demo","3-month program (Munich)","Intensive coaching (lean startup, KPIs, etc.); free office space in Munich; heavy media exposure – one startup gets a “Wildcard” for €3M ad budget on TV&#8203;:contentReference[oaicite:127]{index=127}; extensive mentor network (including successful P7S1 alumni entrepreneurs); demo day with investors; possibility to negotiate further media-for-equity deals post-program"
"SpinLab – The HHL Accelerator (Leipzig)","Accelerator (grant + services)","€6,000 grant (no equity) per startup&#8203;:contentReference[oaicite:128]{index=128}; perks worth >€15k (cloud credits, etc.); option for ~€100k convertible loan from SpinLab partners","Startups with a scalable model in e-health, smart city, energy, or related fields (not strictly limited); typically product prototype or early revenue; any location (must attend in Leipzig)","Apply via online form; about 10 startups per cohort; selection by SpinLab and corporate partners","Two cohorts per year (6-month each)","Smart Energy, eHealth, Smart City, InsurTech, etc. (quite broad)","Private (Sponsored by Stadtwerke Leipzig, VNG, Porsche, etc., and HHL)","International (Leipzig-based program, but global applicants welcome)","https://www.spinlab.co/apply","SpinLab Leipzig; application@spinlab.co","Online application, pitch deck, video pitch","6-month accelerator program","No equity taken; free office in creative Leipzig Baumwollspinnerei campus; €6k cash grant to cover living&#8203;:contentReference[oaicite:129]{index=129}; intensive coaching & workshops (strategy, sales, VC, etc.); access to investors and industry partners (e.g., energy utilities); alumni support and connections to Leipzig Graduate School (HHL) resources"
"Wayra Germany (Telefónica)","Accelerator/VC","~€50,000 initial investment (for ~7–10% equity) + potential Telefónica business opportunities; also up to €25k in services/credits","Startups in IoT, AI, telecom, or any domain that can partner with Telefónica (O2); seed stage (product launched or nearly there); open to global founders but must engage with Munich hub","Online application or pitch at Wayra events; selection by Wayra and Telefónica execs; ~5–10 startups a year (no fixed batch, more rolling)","Rolling (multiple startups onboarded throughout year)","Telecommunications, IoT, AI, cybersecurity, telecom customer solutions","Corporate (Telefónica Open Innovation)","International (Munich-based hub)","https://www.wayra.com/en/wayra-germany","Wayra Germany (Munich); de@wayra.com","Pitch deck, product demo, data on traction","6-month incubation (flexible)","Office space in Munich’s Wayra academy; access to Telefónica’s network and tech (APIs, data); mentoring from Telefónica execs; potential to become Telefónica’s supplier or to integrate product in O2 ecosystem; introduction to Telefónica’s global Wayra investor network"
"Antler Berlin","Accelerator (Venture Builder)","€110k for 10% equity (offered to teams formed, with €85k net after program fee)&#8203;:contentReference[oaicite:130]{index=130}","Individual founders or small teams in any industry, typically pre-company; strong domain expertise or tech skills; must attend full-time in Berlin program to form a startup","Apply as individual (or team) online; interview process to select ~60 individuals; program then forms teams and evaluates; investment committee decides which newly formed startups get funding at ~Week 12","Cohort 1–2 times per year in Berlin","All sectors (especially deep tech, SaaS, fintech, etc. Antler is industry-agnostic)","Private VC (Antler Global)","International (founders worldwide, need to relocate for program)","https://www.antler.co/berlin","Antler Berlin Program Team; berlin@antler.co","Application form, video, interviews (re places); once in program, need to develop pitch and business model for IC","~3 month program (venture generation)","€2,500/month stipend for first 2 months for accepted individuals (helps cover living); intense co-founder matching process; access to Antler’s global advisor network; post-investment: ongoing support and next-round investor intros; part of global Antler alumni network"
"Entrepreneur First (Berlin)","Accelerator (Venture Builder)","£80k (~€90k) investment for 10% equity&#8203;:contentReference[oaicite:131]{index=131} (provided after forming a company and passing EF’s Investment Committee)","Individuals (usually with deep tech or industry experience) who want to start a tech company and need a co-founder; must be able to work in Germany (visa support provided)","Apply as individual via EF site; multi-stage interview; ~50-100 individuals per Berlin cohort; 3 months to form teams and pitch; EF IC selects ~1/3 of teams to fund","Cohorts ~1–2 per year in Berlin","Deep tech, AI, B2B SaaS, and other high-growth areas (EF is agnostic but focuses on big, defensible ideas)","Private (EF fund backed by VCs and corporate)","International (must attend program in Berlin; many participants from EU & beyond)","https://www.joinef.com/location/berlin/","Entrepreneur First Berlin; info-berlin@joinef.com","Application form, interviews (no need business plan upfront since individuals apply pre-idea)","3-month team-building phase + 9-month support post-investment","Monthly stipend during program (~€2k) to cover living costs; intense co-founder matchmaking and ideation support; world-class mentorship from EF’s network; EF helps incorporate company; after investment, ~9 months of additional support to raise seed round; alumni network globally (EF in London, Singapore, etc.)"
"Next Commerce Accelerator (NCA)","Accelerator (Investment)","€50,000 for ~8% equity&#8203;:contentReference[oaicite:132]{index=132}; follow-on up to €150k possible; perks (services) worth ~€50k","Startups (pre-seed/seed) in commerce, e-commerce, logistics, retail tech or related; typically with MVP or early revenue; no regional restriction but should target European market","Online application on NCA.vc or via referral; screening and interviews; about 5–8 startups per batch","Batches roughly once a year (with 6-month runtime)","Commerce, Retail, E-Commerce, Logistics, Marketplaces","Private (NCA is backed by corporate partners and Hamburg funds)","International (program in Hamburg, open globally)","https://nca.vc/","Next Commerce Accelerator, Hamburg; info@nca.vc","Application form, pitch deck, product demo","6-month accelerator program","Tailored 1:1 mentoring, free co-working in Hamburg, access to 20+ corporate partners for pilots&#8203;:contentReference[oaicite:133]{index=133}; demo day with investors; continuing support via NCA alumni & investor network; connection to NCA corporate investor network for business contracts"
"TechFounders (Munich)","Accelerator (Pilot/Grant)","€25,000 equity-free project budget&#8203;:contentReference[oaicite:134]{index=134} for pilot; no equity taken","Early-stage startups ready to pilot their technology with corporate partners; focus on hardware, IoT, mobility, cleantech, robotics, industrial solutions; typically already have prototype","Apply online to TechFounders (run by UnternehmerTUM); selection with input from corporate partners seeking startup pilots; ~10 startups per batch","Batches twice a year","Industrial tech, Mobility, AI, IoT, Cleantech (varies by corporate partner interests)","Private (UnternehmerTUM, corporate-sponsored)","International (program in Munich; open worldwide)","https://techfounders.com/","TechFounders (UnternehmerTUM GmbH); info@techfounders.de","Online application, pitch deck, product details","20-week program","No equity or fees – startups keep IP; €25k grant for pilot costs&#8203;:contentReference[oaicite:135]{index=135}; deep collaboration with a matched corporate partner (BMW, Siemens, etc.) to test product; coaching and workshops via UnternehmerTUM; access to MakerSpace and prototyping resources; investor pitch day at end"
"ESA Business Incubation Centers (ESA BIC)","Incubator (Grant + support)","€50,000 equity-free funding&#8203;:contentReference[oaicite:136]{index=136} (typically €25k from ESA + €25k from regional co-fund) per startup; plus technical support worth ~€50k","Startups (<5 years) developing space-related applications or using space tech in non-space sectors, or developing innovative space tech; must be based in region of an ESA BIC (e.g. Bavaria, Northern Germany, Hessen)","Apply to regional ESA BIC (each has 1–2 calls per year); proposal and business plan required; selection by ESA BIC evaluation board","Calls 2–4 times/year depending on center","Space tech, satellite applications, navigation, Earth observation, aerospace materials","EU/ESA (European Space Agency + regional gov’t partners)","Specific regions in Germany (e.g. Bavaria, Hessen, Baden-Württemberg, Bremen – each with an ESA BIC)","https://esa-bic.de/ (ESA BIC Bavaria & North)","ESA BIC Bavaria (Anwendungszentrum GmbH Oberpfaffenhofen); contact@esa-bic.de","Business plan, technical feasibility, team CVs, incubation plan","Up to 24 months incubation","Free office/lab at incubator, technical mentorship from ESA and DLR experts, business coaching, access to ESA facilities, investor matchmaking, ESA brand credibility; no equity taken; networking with other space startups across Europe"
"DB Mindbox (Deutsche Bahn Startup Hub)","Accelerator (Pilot Grant)","€25,000 non-equity funding for pilot&#8203;:contentReference[oaicite:137]{index=137}; no equity taken","Startups with solutions in mobility, logistics, rail infrastructure, construction tech etc. that can solve Deutsche Bahn’s challenges; usually MVP or product ready to test","Apply to specific DB mindbox challenges (e.g. “Digital Rail” or “Smart Logistics”); ~8–10 startups per batch; selected teams run a pilot with DB business units over 3 months","Multiple themed programs yearly (e.g. 3-4 open calls per year with specific deadlines)","Mobility, Logistics, Rail Tech, Construction (varies by program)","Corporate (Deutsche Bahn)","International (program in Berlin; any startup that can work with DB in Germany)","https://www.dbmindbox.com/","DB mindbox Berlin; team@dbmindbox.com","Online application, pitch deck, description of use-case for DB","100-day accelerator (approx. 3 months)&#8203;:contentReference[oaicite:138]{index=138}","€25k grant for pilot (no equity)&#8203;:contentReference[oaicite:139]{index=139}; workspace in Berlin (DB mindbox at Jannowitzbrücke); mentoring from DB experts; if pilot succeeds, potential long-term supplier contract with Deutsche Bahn; access to railway operational data and facilities for testing; demo day with DB executives and investors"
"Science4Life Venture Cup","Competition (Business Plan)","1st prize €25,000&#8203;:contentReference[oaicite:140]{index=140}; total prize pool ~€60k; additional coaching prizes","Teams or startups in Life Sciences, Chemistry or Energy from all over Germany; from concept to early-stage; often university spin-offs","Three-phase competition: Submit idea (Phase 1), then business plan (Phase 2 & 3) by deadlines; feedback given after each phase; finalists pitch to jury in final event","Annual cycle: Phase 1 (Nov), Phase 2 (Feb), Phase 3 (May) with final awards in summer","Life Sciences, Chemistry, Energy (Science-based startups)","Private-Public (sponsored by Hess. Ministry of Economics and Sanofi)","Germany-wide (must be based in Germany)","https://www.science4life.de/","Science4Life e.V., Frankfurt; info@science4life.de","Idea abstract, then full business plan (incl. market, finance, etc.)","N/A (competition spans ~6–8 months)","Extensive feedback and coaching at each stage by experts; workshops on business plan writing; for finalists, mentoring to refine pitch; winners join Science4Life alumni network and often get media publicity; some in-kind services as additional prizes"
"KfW Award Gründen","Competition/Award","€1,000 for each state winner; €9,000 for national winner; €5k public choice&#8203;:contentReference[oaicite:141]{index=141}","Startups from all 16 German states, founded in last 5 years; evaluated on innovation, social responsibility, and job creation","Nomination/application via KfW portal by deadline; one winner per state chosen by jury; those 16 compete for national prize and a public online voting prize","Annual (application in spring, awards in fall)","All industries","Public (KfW Banking Group)","Germany-wide (one winner per Bundesland)","https://www.kfw.de/award-gruenden/","KfW Award Office (Neu-Isenburg); gruenderwettbewerb@kfw.de","Application form including business description, achievements, sustainability info","N/A (one-time award)","Prestigious recognition by KfW (Germany’s development bank); PR coverage and media package for winners; networking event at award ceremony with investors and other entrepreneurs; no strings attached to prize money"
"Deutscher Gründerpreis","Award (Competition)","No direct cash (prizes are coaching, media and networking support; separate Junior category for students)","Outstanding startups in Germany with scalable business and exceptional founders; typically companies a few years old showing growth; multiple categories: Startup, Newcomer, Lifetime Achievement etc.","Candidates are nominated by experts or regional chambers; a jury of business leaders selects finalists; final pitch/interview for Startup category","Annual (nominations in winter, awards in summer)","All industries (focus on exemplary entrepreneurship)","Private (Initiators: Stern, Sparkassen, ZDF, Porsche)","Germany-wide","https://www.deutscher-gruenderpreis.de/","Deutscher Gründerpreis Office (Hamburg); info@deutscher-gruenderpreis.de","Nomination dossier, company financials, interviews (if finalist)","N/A (award event)","High-profile mentorship: winners in Startup/Newcomer get Porsche consulting for 1 year, coaching by Sparkasse, media coverage in Stern magazine and ZDF; access to alumni network of Gründerpreis winners; significant publicity which often leads to investor interest"
"Green Alley Award","Competition (Award)","€25,000 cash for winner&#8203;:contentReference[oaicite:142]{index=142}; finalists get workshops and mentoring","European startups in Circular Economy: recycling, waste reduction, sustainable materials, digital circular solutions; early-stage to growth (need a prototype and ideally traction)","Apply online (pitch deck + questionnaire); 6 finalists across Europe are invited to pitch in Berlin; one winner selected by jury","Annual (applications by late Autumn, final in Spring)","Circular Economy (Green tech, Waste management, Recycling)","Private (Landbell Group and partners)","EU-wide (startup must be based in Europe)","https://green-alley-award.com/","Green Alley Award Team (Landbell AG); info@green-alley-award.com","Online application, pitch deck, optional video","N/A (one-off event)","Finalists receive one-on-one mentoring day before final (with experts in business modeling, EU law, etc.); networking with investors and industry at final event; post-competition publicity; former finalists often get into further accelerator programs or investment rounds"
"Social Impact Labs (Grants & Incubation)","Grant/Incubation","Stipends typically €5,000–€12,000 total per project (varies by program sponsor) plus 4–8 months free incubation","Social entrepreneurs and impact startups in Germany tackling societal challenges (e.g. inclusion, education, sustainability); early-stage (idea or prototype) often with underrepresented founders (e.g. migrants, people with disabilities)","Apply to specific Social Impact programs (e.g. “Sink or Swim” for refugee founders, etc.); selection by Social Impact Lab jury; if chosen, get place in lab and financial support","Several themed programs per year, depending on funding (check Social Impact website)","Social entrepreneurship (businesses with social or ecological mission)","Private/Philanthropy (e.g. JPMorgan Chase Foundation, KfW Stiftung fund these programs)","Germany (Labs in Berlin, Hamburg, Leipzig, Munich etc., often targeting local founders)","https://socialimpact.eu/en","Social Impact gGmbH (Potsdam); info@socialimpact.eu","Application form focusing on social problem & solution, impact, business idea, team background","Typically 6-month incubation program","Free co-working space at Social Impact Lab; intensive coaching & workshops (business model, impact measurement, etc.); mentoring by business experts; access to pro-bono legal/accounting; connection to donors and ethical investors; alumni network of social startups"
